Start Date,End Date,Response Type,IP Address,Progress,Finished,latitude,lonitude,Distribution Channel,User Language,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,Are you,How old are you?
3/31/15 18:27,3/31/15 18:33,IP Address,216.164.56.198,100,TRUE,39.0045929,-77.03690338,,,Safari iPad,5.1,iPad,768x1024,Female,24
3/31/15 18:26,3/31/15 18:35,IP Address,108.34.191.123,100,TRUE,41.75010681,-71.4108963,,EN,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,Male,27
3/31/15 18:27,3/31/15 18:37,IP Address,70.190.146.232,100,TRUE,33.60960388,-112.3772964,,EN,Safari iPad,7,iPad,768x1024,Male,45
3/31/15 18:27,3/31/15 18:38,IP Address,54.201.25.160,100,TRUE,45.83990479,-119.7005997,,EN,Firefox,37,Windows NT 6.3,1366x768,Female,29
3/31/15 18:35,3/31/15 18:42,IP Address,74.214.246.154,100,TRUE,38.98510742,-110.6589966,,EN,Firefox,37,Windows NT 5.1,1152x720,Male,38
3/31/15 18:30,3/31/15 18:43,IP Address,70.181.161.207,100,TRUE,33.0500946,-117.2528,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,Female,53
3/31/15 18:32,3/31/15 18:45,IP Address,72.168.141.75,100,TRUE,38,-97,,EN,Safari iPad,7,iPad,768x1024,Female,25
3/31/15 18:37,3/31/15 18:45,IP Address,104.240.57.54,100,TRUE,45.45730591,-122.7991943,,EN,Mozilla,5,Windows NT 6.3,1143x643,Female,54
3/31/15 18:42,3/31/15 18:49,IP Address,99.141.183.200,100,TRUE,41.76060486,-88.32009888,,EN,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,Male,32
3/31/15 18:42,3/31/15 18:52,IP Address,72.77.38.45,100,TRUE,40.54649353,-80.05249786,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,Male,34
3/31/15 18:41,3/31/15 18:53,IP Address,69.254.229.184,100,TRUE,38.85180664,-94.7786026,,EN,Firefox,37,Windows NT 6.1,1247x704,Female,64
3/31/15 18:40,3/31/15 18:53,IP Address,76.241.1.61,100,TRUE,37.97529602,-121.3244019,,EN,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,Male,31
3/31/15 18:48,3/31/15 18:56,IP Address,54.201.25.160,100,TRUE,45.83990479,-119.7005997,,EN,Firefox,36,Windows NT 6.2,1280x1024,Male,31
3/31/15 18:49,3/31/15 18:57,IP Address,24.231.165.50,100,TRUE,43.70530701,-84.23770142,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1680x1050,Female,53
3/31/15 18:38,3/31/15 18:58,IP Address,54.201.25.160,100,TRUE,45.83990479,-119.7005997,,EN,Firefox,36,Windows NT 6.3,1366x768,Female,50
3/31/15 18:45,3/31/15 18:59,IP Address,166.171.184.193,100,TRUE,40.72799683,-73.94529724,,EN,Chrome,41.0.2272.96,Linux,640x360,Female,27
3/31/15 18:34,3/31/15 19:00,IP Address,98.22.180.183,100,TRUE,37.98869324,-84.48799896,,,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,Female,55
3/31/15 18:43,3/31/15 19:02,IP Address,108.245.192.125,100,TRUE,34.09049988,-118.1343994,,EN,Chrome,41.0.2272.101,Windows NT 6.0,1280x800,Male,43
3/31/15 18:47,3/31/15 19:04,IP Address,108.33.127.176,100,TRUE,28.38189697,-82.65049744,,EN,Firefox,36,Windows NT 6.1,1366x768,Female,40
3/31/15 18:32,3/31/15 19:05,IP Address,99.207.123.158,100,TRUE,38,-97,,EN,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,Female,35
3/31/15 18:58,3/31/15 19:06,IP Address,96.229.171.32,100,TRUE,34.17480469,-117.8750992,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,Male,25
3/31/15 18:56,3/31/15 19:08,IP Address,173.242.106.72,100,TRUE,44.9868927,-73.37169647,,EN,Firefox,36,Windows NT 6.1,1093x614,Male,65
3/31/15 19:07,3/31/15 19:14,IP Address,54.201.25.160,100,TRUE,45.83990479,-119.7005997,,EN,Firefox,36,Windows NT 6.1,800x600,Male,51
3/31/15 19:06,3/31/15 19:16,IP Address,108.201.248.158,100,TRUE,41.88020325,-87.75659943,,EN,Chrome,41.0.2272.101,Windows NT 6.3,1920x1080,Male,41
3/31/15 19:07,3/31/15 19:16,IP Address,184.184.173.22,100,TRUE,30.2973938,-90.86569977,,EN,Chrome,41.0.2272.101,Windows NT 6.0,1366x768,Female,43
3/31/15 19:08,3/31/15 19:17,IP Address,54.174.77.195,100,TRUE,39.04370117,-77.48750305,,EN,Firefox,36,Ubuntu,1280x1024,Male,47
3/31/15 19:13,3/31/15 19:21,IP Address,69.204.123.178,100,TRUE,42.91969299,-78.87789917,,EN,Firefox,36,Macintosh,1440x900,Female,27
3/31/15 19:31,3/31/15 19:43,IP Address,108.239.200.151,100,TRUE,35.11079407,-89.94830322,,,Safari,8.0.2,Macintosh,2560x1440,,63
3/31/15 19:39,3/31/15 19:50,IP Address,69.117.116.86,100,TRUE,41.48849487,-73.94339752,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,Female,29
3/31/15 19:38,3/31/15 19:52,IP Address,108.34.173.250,100,TRUE,41.70080566,-71.39219666,,EN,Chrome,41.0.2272.96,Linux,1280x800,Female,54
3/31/15 20:00,3/31/15 20:07,IP Address,63.243.37.162,100,TRUE,25.8132019,-80.20510101,,,MSIE,8,Windows NT 6.1,1366x768,Male,57
3/31/15 21:00,3/31/15 21:14,IP Address,142.196.158.80,100,TRUE,28.54449463,-81.37059784,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,Female,75
3/31/15 21:15,3/31/15 21:25,IP Address,99.103.167.1,100,TRUE,43.02819824,-88.29489899,,EN,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,Female,6
3/31/15 21:49,3/31/15 21:59,IP Address,71.75.11.218,100,TRUE,35.40339661,-80.86109924,,EN,Chrome,35.0.1916.153,Windows NT 6.3,1600x900,Female,50
3/31/15 22:11,3/31/15 22:23,IP Address,98.215.43.12,100,TRUE,40.52819824,-88.98010254,,,Firefox,36,Macintosh,1680x1050,Female,46
3/31/15 21:51,3/31/15 22:28,IP Address,183.96.134.114,100,TRUE,37.59849548,126.978302,,EN,Chrome,41.0.2272.104,Macintosh,1440x900,Male,29
3/31/15 22:25,3/31/15 22:37,IP Address,100.1.82.113,100,TRUE,40.79040527,-74.02459717,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,Male,41
3/31/15 22:35,3/31/15 22:43,IP Address,54.174.77.195,100,TRUE,39.04370117,-77.48750305,,EN,Safari,8.0.4,Macintosh,1440x900,Male,31
3/31/15 22:39,3/31/15 22:48,IP Address,72.64.208.145,100,TRUE,27.04069519,-82.35250092,,EN,Chrome,41.0.2272.94,Linux,768x1024,Male,50
3/31/15 22:40,3/31/15 22:49,IP Address,107.218.149.148,100,TRUE,41.6934967,-87.61450195,,EN,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,Male,31
3/31/15 23:09,3/31/15 23:17,IP Address,50.86.54.167,100,TRUE,32.31059265,-90.20379639,,EN,Chrome,40.0.2214.109,Linux,640x360,Female,39
3/31/15 23:25,3/31/15 23:41,IP Address,73.221.151.17,100,TRUE,47.30780029,-122.3177032,,EN,Firefox,36,Windows NT 6.3,1280x720,Female,27
3/31/15 23:44,3/31/15 23:53,IP Address,108.15.196.141,100,TRUE,37.21409607,-80.0625,,EN,Firefox,37,Windows NT 6.3,1920x1080,Male,46
4/1/15 0:03,4/1/15 0:12,IP Address,71.211.202.223,100,TRUE,39.74279785,-104.8996964,,EN,Safari iPhone,8,iPhone,320x568,Female,36
4/1/15 0:33,4/1/15 0:44,IP Address,76.185.193.61,100,TRUE,32.957901,-96.62359619,,EN,Firefox,36,Windows NT 6.1,1536x864,Male,39
4/1/15 0:58,4/1/15 1:19,IP Address,98.26.141.182,100,TRUE,36.3177948,-80.1812973,,EN,Firefox,36,Windows NT 6.1,1280x800,Female,35
4/1/15 1:34,4/1/15 1:43,IP Address,172.56.39.252,100,TRUE,37.72489929,-122.1560974,,EN,Firefox,36,Windows NT 6.3,1366x768,Female,27
4/1/15 5:13,4/1/15 5:16,IP Address,70.167.95.4,100,TRUE,29.81419373,-82.49089813,,EN,MSIE,10,Windows NT 6.1,1920x1080,Male,26
4/1/15 8:43,4/1/15 8:52,IP Address,72.252.30.120,100,TRUE,18,-76.80000305,,EN,Firefox,36,Windows NT 6.3,1366x768,Male,31
